Run,Checkpoint,Modo,Seed,estado,origen,destino
r64_a128_d0,epoch_180_loss_0.1748,locrian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_locrian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\locrian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,ionian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_ionian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\ionian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,ionian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_ionian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\ionian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,dorian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_dorian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\dorian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,dorian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_dorian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\dorian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,phrygian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_phrygian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\phrygian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,phrygian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_phrygian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\phrygian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,lydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_lydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\lydian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,lydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_lydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\lydian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,mixolydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_mixolydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\mixolydian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,mixolydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_mixolydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\mixolydian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,aeolian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_aeolian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\aeolian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,aeolian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_aeolian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\aeolian_seed2222.flac
r64_a128_d0,epoch_80_loss_0.1921,locrian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_locrian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\locrian_seed1111.flac
r64_a128_d0,epoch_80_loss_0.1921,locrian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_80_loss_0.1921_locrian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_80_loss_0.1921\locrian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,ionian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_ionian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\ionian_seed1111.flac
r64_a128_d0,epoch_200_loss_0.1704,ionian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_ionian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\ionian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,dorian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_dorian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\dorian_seed1111.flac
r64_a128_d0,epoch_200_loss_0.1704,dorian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_dorian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\dorian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,phrygian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_phrygian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\phrygian_seed1111.flac
r64_a128_d0,epoch_200_loss_0.1704,phrygian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_phrygian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\phrygian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,lydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_lydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\lydian_seed1111.flac
r64_a128_d0,epoch_200_loss_0.1704,lydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_lydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\lydian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,mixolydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_mixolydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\mixolydian_seed1111.flac
r64_a128_d0,epoch_200_loss_0.1704,mixolydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_mixolydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\mixolydian_seed2222.flac
r64_a128_d0,epoch_200_loss_0.1704,aeolian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_200_loss_0.1704_aeolian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_200_loss_0.1704\aeolian_seed1111.flac
